SL,SampleRTT
1,1.334
2,1.0397
3,1.0779
4,1.4687
5,1.0235
6,0.0
7,0.0
8,0.783
9,1.0178
10,1.0061
11,1.0087
12,0.9997
13,0.9995
14,0.0
15,0.0
16,0.0
17,0.679
18,1.0397
19,1.009
20,1.0071
21,1.7326
22,1.0159
23,1.0192
24,1.0433
25,0.9999
26,1.0018
27,0.0
28,1.3154
29,1.0071
30,0.6025
31,1.5016
32,1.0641
33,1.044
34,1.1287
35,1.0021
36,0.9954
37,1.0464
38,1.0083
39,0.0
40,0.0
41,0.0
42,0.0
43,0.2525
44,0.0
45,0.0
46,0.0
47,1.0247
48,1.2004
49,1.0095
50,1.0657
51,1.0118
52,0.1025
53,0.0
54,0.0
55,0.0
56,1.0693
57,1.018
58,1.0059
59,1.0431
60,1.6844
61,1.0133
62,1.0114
63,0.9983
64,1.0011
65,0.2096
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,1.03
76,1.0064
77,1.5841
78,0.0
79,0.0
80,0.0
81,0.0
82,1.0719
83,1.0054
84,1.0357
85,1.0357
86,1.4126
87,1.0762
88,1.4074
89,1.0426
90,0.9971
91,0.0
92,1.0035
93,0.9987
94,0.4237
95,0.0
96,1.0109
97,0.9992
98,0.0
99,0.0
100,1.0026
101,0.9937
102,0.0
103,0.0
104,0.0
105,0.0
106,0.5403
107,1.0445
108,1.0111
109,0.9956
110,1.0235
111,1.4176
112,1.2233
113,0.0
114,0.0
115,0.0
116,1.0087
117,0.0
118,1.0085
119,0.2999
120,0.0
121,0.0
122,0.0
123,0.5062
124,1.0338
125,0.0
126,0.0
127,0.91
128,1.0164
129,1.009
130,1.0102
131,1.4882
132,0.0
133,0.0
134,0.0
135,0.0
136,0.55
137,0.0
138,0.0
139,0.0
140,0.7048
141,1.0169
142,1.0095
143,0.0
144,0.5388
145,1.0152
146,1.0121
